time,total,zones
21:23:05,0,"{1: 0, 2: 0, 3: 0}"
21:23:22,0,"{1: 0, 2: 0, 3: 0}"
21:23:35,17,"{1: 9, 2: 7, 3: 1}"
21:23:44,18,"{1: 10, 2: 7, 3: 1}"
21:23:51,18,"{1: 10, 2: 7, 3: 1}"
21:23:55,18,"{1: 10, 2: 7, 3: 1}"
21:23:59,18,"{1: 10, 2: 7, 3: 1}"
21:24:09,18,"{1: 10, 2: 7, 3: 1}"
21:24:22,19,"{1: 10, 2: 7, 3: 2}"
21:24:45,22,"{1: 11, 2: 9, 3: 2}"
21:24:53,22,"{1: 11, 2: 9, 3: 2}"
21:24:58,22,"{1: 11, 2: 9, 3: 2}"
21:25:04,22,"{1: 11, 2: 9, 3: 2}"
21:25:08,22,"{1: 11, 2: 9, 3: 2}"
21:25:13,22,"{1: 11, 2: 9, 3: 2}"
21:25:18,22,"{1: 11, 2: 9, 3: 2}"
21:25:24,23,"{1: 11, 2: 10, 3: 2}"
21:25:30,23,"{1: 11, 2: 10, 3: 2}"
21:25:42,23,"{1: 11, 2: 10, 3: 2}"
